Index,-C(=O)O ,-C(=O)OC(=O)-,-C=O, -CF2, -CF3, -CN, -F, -NH2,-O-,-O-C(=C)-O-,-O-C=C-,-OC(=O)O-,-OC(=O)S-,-OS(=O)O-,-S(=O)(=O)-,-S(=O)-,-S(=O)O- ,-S-,C=C,N,NH,Solvent_str,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
i0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.56,1443.75,-247.5870786,-931.2618387,3.08E-11,0
i0187,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1440.78,-247.4547952,-921.15748,3.40E-11,1
i0188,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7,1472.89,-247.5530821,-917.5298091,3.51E-11,1
i0189,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.26,1460.54,-243.907104,-954.0573594,6.65E-11,1
i0190,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1440.72,-247.3710184,-929.0530849,1.59E-11,0
i0191,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1448.39,-250.0745661,-921.6301255,1.49E-11,0
i0193,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1462.73,-244.4373538,-905.8767954,2.48E-11,0
i0194,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.48,1483.01,-247.7575645,-1022.189018,2.55E-11,0
i0195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.52,1467.07,-242.5438249,-980.8442694,3.80E-11,1
i0196,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.63,1485.49,-246.525617,-926.035629,2.17E-11,0
i0197,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.63,1474.31,-255.8932745,-1024.270761,1.16E-11,0
i0198,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1452.03,-247.3197076,-918.625779,2.18E-11,0
i0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.44,1448.2,-251.5431436,-952.6971981,1.09E-11,0
i0200,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1464.54,-244.2881886,-916.6669923,2.78E-11,0
i0201,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.59,1446.51,-241.954743,-915.3718742,3.09E-11,0
i0202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1438.76,-250.3748031,-895.9753433,1.91E-11,0
i0203,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.52,1460.29,-245.2023731,-926.529555,2.59E-11,0
i0204,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1472.9,-242.7758885,-921.4250924,2.33E-11,0
i0205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.52,1433.26,-247.7490128,-932.9154952,3.02E-11,0
i0206,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1453.43,-253.072396,-958.8777347,1.52E-11,0
i0207,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.44,1501.56,-250.9148141,-930.0049233,2.00E-11,0
i0208,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1445.62,-244.0318159,-968.8274591,4.25E-11,1
i0210,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.48,1469.46,-248.3162091,-948.6490818,2.62E-11,0
i0211,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.59,1462.13,-246.9543638,-924.8282235,2.55E-11,0
i0212,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1446.7,-248.3752769,-978.7052819,1.79E-11,0
i0213,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1474.62,-245.9974831,-956.7389184,2.68E-11,0
i0214,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1456.9,-242.5924775,-933.5997649,2.30E-11,0
i0215,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1492.96,-239.2779281,-911.3463788,4.91E-11,1
i0216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.52,1449.14,-250.4050369,-949.7759894,1.91E-11,0
i0217,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.48,1462.89,-246.6553368,-913.6464811,3.06E-11,0
i0218,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.52,1475.73,-252.6475277,-1030.340282,2.96E-11,0
i0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33,1465.86,-252.3726846,-925.3471456,3.11E-11,0
i0220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1429.92,-242.9647291,-922.5852318,3.10E-11,0
C=C(F)OC,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.56,1445.49,-238.0958405,-951.5666806,2.98E-11,0
C=COCF,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.56,1446.08,-240.8386246,-922.0289563,4.47E-11,1
CC(=O)OC(C)(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1442.03,-249.8593849,-833.7197255,2.41E-11,0
CC(=O)OC(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1440.47,-252.6350772,-898.4215815,2.32E-11,0
CC(=O)OCC(F)CF,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1463.38,-248.1807662,-959.4663938,2.36E-11,0
CC(=O)OCCC(C)F,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1449.51,-251.2363002,-939.1836499,1.62E-11,0
CC(=O)OCCOC(F)F,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1466.5,-252.7231031,-964.3504492,1.15E-11,0
CC(C)OC(N)=O,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1448.04,-250.8742384,-884.5007637,1.66E-11,0
CC(C)OCC=O,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1440.68,-254.4012067,-932.3644559,2.34E-11,0
CC(F)(F)OCC(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1472.28,-244.4650116,-967.3001826,2.24E-11,0
CC(F)OCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1458.51,-242.1874787,-930.9679381,3.56E-11,1
CC(O)OCCCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1451.23,-243.3968905,-931.1039771,3.41E-11,1
CCC(C)CCOC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1432.84,-244.1453221,-915.8768407,1.69E-11,0
CCC(C)OC(=O)OC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.48,1450.05,-250.6652551,-959.4469838,2.61E-11,0
CCC(C)OCCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1440.18,-244.4366598,-942.5921436,3.36E-11,1
CCC(C)OCCOC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1437.36,-243.0708966,-935.5166687,3.74E-11,1
CCC(CCF)OC,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1439.06,-243.1978764,-942.2769418,2.93E-11,0
CCC(F)CCOC,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1438.94,-244.1406938,-930.6880531,2.23E-11,0
CCC(F)COC(C)=O,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1448.55,-242.7254885,-943.5281314,3.45E-11,1
CCCC(=O)OC(F)F,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1460.48,-251.7018069,-909.16951,3.48E-11,1
CCCC(C)OC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1433.73,-249.3907108,-939.0195339,2.84E-11,0
CCCCCOC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1431.09,-240.51796,-910.0347371,3.36E-11,1
CCCCCOCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1436.76,-246.525726,-923.691484,2.25E-11,0
CCCCOC(C)(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1445.58,-243.5069466,-927.335954,4.40E-11,1
CCCCOC(C)=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1437.77,-249.0753402,-933.8885679,1.30E-11,0
CCCCOC(C)CF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1440.89,-244.8317771,-926.3123681,3.78E-11,1
CCCCOC(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1451.24,-241.6108624,-915.8792269,4.91E-11,1
CCCCOCC(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1447.64,-243.6099787,-916.7180842,4.16E-11,1
CCCOC(C)=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1437.43,-248.5579483,-940.873787,2.39E-11,0
CCCOC(C)CC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1434.85,-249.9404227,-953.2824127,1.46E-11,0
CCCOC(C)OC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1436.32,-246.2130859,-957.0084451,3.47E-11,1
CCCOC=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1439.02,-250.8747078,-939.9673851,2.46E-11,0
CCCOCC(C)CF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1438.32,-244.6101546,-933.8557133,3.35E-11,1
CCCOCCC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1429.34,-244.3245606,-928.574892,3.28E-11,1
CCCOCCCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1440.21,-247.3613304,-937.8219334,2.50E-11,0
CCOC#N,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1439.74,-243.7874022,-950.5958522,3.60E-11,1
CCOC(=O)COC(F)F,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1463.03,-247.5213651,-955.6545113,3.16E-11,0
CCOC(=O)COCF,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1455.72,-250.116061,-944.8208607,2.75E-11,0
CCOC(=O)OC(C)F,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.56,1456.38,-249.8374053,-915.7904954,1.70E-11,0
CCOC(=O)OCF,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.48,1461.64,-247.6464562,-949.7523146,4.94E-11,1
CCOC(C)(C)OCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1445.13,-245.1218855,-919.5574015,2.57E-11,0
CCOC(C)CC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1429.92,-242.9800903,-937.3347877,1.96E-11,0
CCOC(C)CCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1441.79,-244.6354991,-926.8460515,2.79E-11,0
CCOC(C)COC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1437.98,-240.0655042,-911.3155859,2.77E-11,0
CCOC(C)OC(C)(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1452.01,-244.2060984,-904.1155367,3.06E-11,0
CCOC(C)OC(F)(F)F,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1466.54,-244.4161278,-899.127107,2.48E-11,0
CCOC(C)OC(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1453.57,-242.360487,-908.7793659,3.56E-11,1
CCOC(CC)OC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1435.59,-244.173957,-960.1091478,1.92E-11,0
CCOC(F)(F)C(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1469.33,-243.2858846,-931.348425,1.81E-11,0
CCOC(F)C(F)(F)F,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1469.52,-239.7196508,-915.9484028,3.77E-11,1
CCOC(F)CC(F)F,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1462.46,-245.608683,-926.8648951,2.98E-11,0
CCOCC(F)OC(F)F,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1461.97,-243.7962281,-920.2745747,3.38E-11,1
CCOCC(O)OC(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1463.73,-245.0434682,-928.5771843,2.25E-11,0
CCOCC1OCCO1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1447.38,-247.171619,-927.3492485,3.23E-11,1
CCOCCC(C)(C)F,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1440.78,-241.0948999,-892.5972223,2.10E-11,0
CCOCCC(C)(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1449.18,-240.9111089,-911.4777172,2.65E-11,0
CCOCCC(C)C(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1447.88,-241.1047871,-927.7263105,3.99E-11,1
CCOCCC(C)CF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1440.19,-244.2840135,-922.3062534,3.24E-11,1
CCOCCC(F)(F)F,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1458.81,-242.102032,-920.9124717,1.34E-11,0
CCOCCC(F)CC,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1439.23,-243.7359485,-936.3199673,2.21E-11,0
CCOCCCC(C)(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1448.89,-248.1696902,-940.2932649,1.56E-11,0
CCOCCCC(C)F,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1439.71,-244.9692002,-928.8093545,3.31E-11,1
CCOCCCC(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1449.9,-243.6244092,-934.2081908,2.22E-11,0
CCOCCOC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1432.68,-245.5763202,-928.1830409,5.40E-11,1
CCOCOC(C)O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1444.73,-240.9087154,-898.8374009,3.32E-11,1
CCOCOC(F)(F)F,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1467.37,-245.5185632,-927.9719356,2.28E-11,0
CCOS(C)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.41,1456.1,-245.997411,-934.9741804,4.30E-11,1
COC#N,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1445.04,-246.2612476,-1013.695806,4.97E-11,1
COC(=O)C#N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1457.65,-250.5072606,-964.2561808,3.56E-11,1
COC(=O)CCCF,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1448.77,-249.7694104,-986.2111518,2.48E-11,0
COC(=O)OC(N)=O,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.41,1481.47,-253.4657028,-874.9666498,3.06E-11,0
COC(C)(C)OC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1435.87,-237.4951809,-966.4792307,2.88E-11,0
COC(C)=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1447.97,-249.2275341,-984.5376585,2.52E-11,0
COC(C)CCCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1439.91,-243.1879314,-937.8806048,3.64E-11,1
COC(C)OC(C)C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1432.75,-242.1273761,-912.5164798,2.11E-11,0
COC(CC(C)(C)C)OC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1440,-242.7658069,-880.3997301,1.23E-11,0
COC(CF)CCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1452.32,-238.0757096,-923.3147151,3.78E-11,1
COC(F)(F)C(F)(F)C(C)(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1483.32,-242.6835657,-924.828539,3.76E-11,1
COC(F)(F)C(F)(F)C(F)(F)C(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1495.36,-239.2656933,-923.9357555,2.89E-11,0
COC(F)(F)C(F)(F)C(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1486.53,-242.3368747,-937.7260784,2.47E-11,0
COC(F)C(F)C(C)CF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1457.86,-240.444704,-932.1350007,2.39E-11,0
COC(F)OC(C)(C)C,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1442.9,-240.2374246,-852.3440111,3.71E-11,1
COC(F)OC(CF)C(C)(F)F,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1469.57,-247.646634,-973.2738843,1.97E-11,0
COCC(C)OC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1434.65,-245.046149,-938.7129503,2.86E-11,0
COCCC(C)F,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1443.35,-244.7944945,-918.5799267,3.33E-11,1
COCCCC(C)(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1445.33,-245.9614556,-931.1246093,3.74E-11,1
COCCCC(C)C(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1444.64,-243.7845895,-932.3701514,1.76E-11,0
COCCCC(C)CF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1441.62,-241.5494258,-916.3782118,3.33E-11,1
COCCCC(F)(F)F,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1459.91,-240.363036,-931.9063449,2.88E-11,0
COCCCC(F)F,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1450.97,-243.9296859,-936.4443846,2.34E-11,0
COCCCCCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1439.05,-243.4858765,-916.3395636,2.76E-11,0
COCCCCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1440.18,-243.9125992,-926.7086854,3.06E-11,0
COCCOC(C)(C)F,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1443.98,-248.0647678,-926.8075381,2.57E-11,0
COCCOC(C)CF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1443.4,-249.4467319,-940.0935385,2.16E-11,0
COCF,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1450.98,-242.4297694,-935.554662,4.96E-11,1
FCOCC(F)(F)F,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1477.24,-241.6416992,-932.3679828,4.28E-11,1
O=C(CCO)OCF,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1464.94,-251.9524936,-922.9638745,3.02E-11,0
OC(F)(F)C(F)(F)C(F)(F)F,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1507.51,-236.5623178,-904.8255874,2.10E-11,0
