Index,SMILES,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
CCOCCCC(C)(F)F,CCOCCCC(C)(F)F,1448.89,-248.1696902,-940.2932649,1.56E-11,0
CCOCCCC(C)F,CCOCCCC(C)F,1439.71,-244.9692002,-928.8093545,3.31E-11,1
CCOCCCC(F)F,CCOCCCC(F)F,1449.9,-243.6244092,-934.2081908,2.22E-11,0
CCOCCOC,CCOCCOC,1432.68,-245.5763202,-928.1830409,5.40E-11,1
CCOCOC(C)O,CCOCOC(C)O,1444.73,-240.9087154,-898.8374009,3.32E-11,1
CCOCOC(F)(F)F,CCOCOC(F)(F)F,1467.37,-245.5185632,-927.9719356,2.28E-11,0
CCOS(C)=O,CCOS(C)=O,1456.1,-245.997411,-934.9741804,4.30E-11,1
COC#N,COC#N,1445.04,-246.2612476,-1013.695806,4.97E-11,1
COC(=O)C#N,COC(=O)C#N,1457.65,-250.5072606,-964.2561808,3.56E-11,1
COC(=O)CCCF,COC(=O)CCCF,1448.77,-249.7694104,-986.2111518,2.48E-11,0
COC(=O)OC(N)=O,COC(=O)OC(N)=O,1481.47,-253.4657028,-874.9666498,3.06E-11,0
COC(C)(C)OC,COC(C)(C)OC,1435.87,-237.4951809,-966.4792307,2.88E-11,0
COC(C)=O,COC(C)=O,1447.97,-249.2275341,-984.5376585,2.52E-11,0
COC(C)CCCF,COC(C)CCCF,1439.91,-243.1879314,-937.8806048,3.64E-11,1
COC(C)OC(C)C,COC(C)OC(C)C,1432.75,-242.1273761,-912.5164798,2.11E-11,0
COC(CC(C)(C)C)OC,COC(CC(C)(C)C)OC,1440,-242.7658069,-880.3997301,1.23E-11,0
COC(CF)CCF,COC(CF)CCF,1452.32,-238.0757096,-923.3147151,3.78E-11,1
COC(F)(F)C(F)(F)C(C)(F)F,COC(F)(F)C(F)(F)C(C)(F)F,1483.32,-242.6835657,-924.828539,3.76E-11,1
COC(F)(F)C(F)(F)C(F)(F)C(F)F,COC(F)(F)C(F)(F)C(F)(F)C(F)F,1495.36,-239.2656933,-923.9357555,2.89E-11,0
COC(F)(F)C(F)(F)C(F)F,COC(F)(F)C(F)(F)C(F)F,1486.53,-242.3368747,-937.7260784,2.47E-11,0
COC(F)C(F)C(C)CF,COC(F)C(F)C(C)CF,1457.86,-240.444704,-932.1350007,2.39E-11,0
COC(F)OC(C)(C)C,COC(F)OC(C)(C)C,1442.9,-240.2374246,-852.3440111,3.71E-11,1
COC(F)OC(CF)C(C)(F)F,COC(F)OC(CF)C(C)(F)F,1469.57,-247.646634,-973.2738843,1.97E-11,0
