SMILES,Name
C=C(OC)OCCF,hc83
FCC1COCCO1,hc836
COS(=O)OCC(F)F,hc838
COS(=O)CCF,hc857
COC(=O)OC(F)(F)F,hc867
COS(=O)OCCF,hc883
CC(=O)OC(C)CF,hc895
CS(=O)C1CCCCC1,hc898
FC1(F)CCOCC1,hc901
COC=CC(C)F,hc902
CCCC(=O)OC(C)C,hc907
CCOC(=O)OCO,hc934
CCOC(=O)C(F)(F)F,hc956
C=CCOCCC,hc962
CC(=O)OCC(C)F,hc967
O=S(OCF)OC(F)F,hc968
CCC(F)OC,hc971
CCCCOC=O,hc980
OCSCF,hc982
C=C1OCCC(F)O1,hc983
CCC(F)OC,hc985
COC(=O)C(F)F,jy19
CCOC(C)(F)F,jy20
CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,jy26
CCOC(=O)OCC,jy28
COCCS(C)(=O)=O,jy30
COC(=O)OCC(F)F,jy32
CS(C)(=O)=O,jy8
CCCC#N,jy9
